Query,Answer
"What causes Multiple sclerosis ?","Studies suggest that there are many factors that influence whether a person will develop multiple sclerosis (MS). The factors that contribute to its onset are multiple and may vary from person to person. The signs and symptoms of MS occur as a result of inflammation, loss of the protective nerve covering (myelin), and the breakdown of nerve cells. The most widely accepted theory is that MS begins as an autoimmune disorder, where white blood cells (lymphocytes) attack healthy tissues. Later, signs and symptoms occur as a result of abnormal activity of specific cells in the brain and spinal cord (microglial cells) and progressive injury and loss of brain and spinal cord cells. Additional theories regarding the cause of MS include chronic viral infections and genetic disease. Although many viruses, and particularly the Epstein-Barr virus, have been associated with MS, there is no specific evidence linking viruses directly to the development of MS. Still, Epstein-Barr virus infection is considered a risk factor for the disease. Certain gene changes, including ones in HLA-DRB1 are associated with an increased risk for developing multiple sclerosis. However, it is unclear exactly what role these gene changes play in the development of MS. Having a first-degree relative with MS, like a parent or sibling, does increase a persons risk for the condition (to around 2%). Learn more about gene changes and MS. Vitamin D is another area of interest. Those who are exposed to more sunlight tend to have higher levels of naturally-produced vitamin D, which is thought to support the immune function and may help protect against immune-mediated diseases like MS. Further information on the cause of MS is available at the National Multiple Sclerosis Society Web site."
"How to diagnose Multiple sclerosis ?","Symptoms of multiple sclerosis (MS) may be similar to those of many other nervous system disorders. The disease is made based on the person's signs and symptoms and is typically diagnosed by ruling out other conditions. "Dissemination in time and space" are commonly-used criteria for diagnosing the relapsing-remitting form of MS (RR-MS). "Dissemination in time means" that there are at least two clinical attacks, each lasting at least 24 hours, separated by at least one month, or a slow, step-wise progressive course for at least six months. "Dissemination in space" means that there are lesions in more than one area of the brain or spinal cord. For primary progressive MS (PP-MS), there are currently no diagnostic criteria that are universally accepted. Physicians may do many tests to evaluate an individual suspected of having MS. Neurological Exam: May show reduced nerve function in one area of the body or over many parts of the body. This may include abnormal nerve reflexes, decreased ability to move a part of the body, decreased or abnormal sensation, and other loss of nervous system functions. Eye Exam: May show abnormal pupil responses, changes in the visual fields or eye movements, decreased visual acuity, problems with the inside parts of the eye, and rapid eye movements triggered when the eye moves. Other Tests: Lumbar puncture (spinal tap) for cerebrospinal fluid tests, MRI scan of the brain, MRI scan of the spine; nerve function study; and several of blood tests. The Revised McDonald Criteria, published In 2010 by the International Panel on the Diagnosis of Multiple Sclerosis, include specific guidelines for using MRI, visual evoked potentials (VEP) and cerebrospinal fluid analysis to speed the diagnostic process."
"What is Parkinson's Disease ?","Parkinson's disease (PD) belongs to a group of conditions called motor system disorders, which are the result of the loss of dopamine-producing brain cells. The four primary symptoms of PD are tremor, or trembling in hands, arms, legs, jaw, and face; rigidity, or stiffness of the limbs and trunk; bradykinesia, or slowness of movement; and postural instability, or impaired balance and coordination. As these symptoms become more pronounced, patients may have difficulty walking, talking, or completing other simple tasks. PD usually affects people over the age of 60. Early symptoms of PD are subtle and occur gradually. In some people the disease progresses more quickly than in others. As the disease progresses, the shaking, or tremor, which affects the majority of people with PD may begin to interfere with daily activities. Other symptoms may include depression and other emotional changes; difficulty in swallowing, chewing, and speaking; urinary problems or constipation; skin problems; and sleep disruptions. There are currently no blood or laboratory tests that have been proven to help in diagnosing sporadic PD. Therefore the diagnosis is based on medical history and a neurological examination. The disease can be difficult to diagnose accurately. Doctors may sometimes request brain scans or laboratory tests in order to rule out other diseases."
"What are the treatments for Parkinson's Disease ?","At present, there is no cure for PD, but a variety of medications provide dramatic relief from the symptoms. Usually, affected individuals are given levodopa combined with carbidopa. Carbidopa delays the conversion of levodopa into dopamine until it reaches the brain. Nerve cells can use levodopa to make dopamine and replenish the brain's dwindling supply. Although levodopa helps at least three-quarters of parkinsonian cases, not all symptoms respond equally to the drug. Bradykinesia and rigidity respond best, while tremor may be only marginally reduced. Problems with balance and other symptoms may not be alleviated at all. Anticholinergics may help control tremor and rigidity. Other drugs, such as bromocriptine, pramipexole, and ropinirole, mimic the role of dopamine in the brain, causing the neurons to react as they would to dopamine. An antiviral drug, amantadine, also appears to reduce symptoms. In May 2006, the FDA approved rasagiline to be used along with levodopa for patients with advanced PD or as a single-drug treatment for early PD. In some cases, surgery may be appropriate if the disease doesn't respond to drugs. A therapy called deep brain stimulation (DBS) has now been approved by the U.S. Food and Drug Administration. In DBS, electrodes are implanted into the brain and connected to a small electrical device called a pulse generator that can be externally programmed. DBS can reduce the need for levodopa and related drugs, which in turn decreases the involuntary movements called dyskinesias that are a common side effect of levodopa. It also helps to alleviate fluctuations of symptoms and to reduce tremors, slowness of movements, and gait problems. DBS requires careful programming of the stimulator device in order to work correctly."
"What is allergic asthma ?","Asthma is a breathing disorder characterized by inflammation of the airways and recurrent episodes of breathing difficulty. These episodes, sometimes referred to as asthma attacks, are triggered by irritation of the inflamed airways. In allergic asthma, the attacks occur when substances known as allergens are inhaled, causing an allergic reaction. Allergens are harmless substances that the body's immune system mistakenly reacts to as though they are harmful. Common allergens include pollen, dust, animal dander, and mold. The immune response leads to the symptoms of asthma. Allergic asthma is the most common form of the disorder.  A hallmark of asthma is bronchial hyperresponsiveness, which means the airways are especially sensitive to irritants and respond excessively. Because of this hyperresponsiveness, attacks can be triggered by irritants other than allergens, such as physical activity, respiratory infections, or exposure to tobacco smoke, in people with allergic asthma.  An asthma attack is characterized by tightening of the muscles around the airways (bronchoconstriction), which narrows the airway and makes breathing difficult. Additionally, the immune reaction can lead to swelling of the airways and overproduction of mucus. During an attack, an affected individual can experience chest tightness, wheezing, shortness of breath, and coughing. Over time, the muscles around the airways can become enlarged (hypertrophied), further narrowing the airways.  Some people with allergic asthma have another allergic disorder, such as hay fever (allergic rhinitis) or food allergies. Asthma is sometimes part of a series of allergic disorders, referred to as the atopic march. Development of these conditions typically follows a pattern, beginning with eczema (atopic dermatitis), followed by food allergies, then hay fever, and finally asthma. However, not all individuals with asthma have progressed through the atopic march, and not all individuals with one allergic disease will develop others."
"How many people are affected by allergic asthma ?","Approximately 235 million people worldwide have asthma. In the United States, the condition affects an estimated 8 percent of the population. In nearly 90 percent of children and 50 percent of adults with asthma, the condition is classified as allergic asthma."
"What are the genetic changes related to allergic asthma ?","The cause of allergic asthma is complex. It is likely that a combination of multiple genetic and environmental factors contribute to development of the condition. Doctors believe genes are involved because having a family member with allergic asthma or another allergic disorder increases a person's risk of developing asthma.  Studies suggest that more than 100 genes may be associated with allergic asthma, but each seems to be a factor in only one or a few populations. Many of the associated genes are involved in the body's immune response. Others play a role in lung and airway function.  There is evidence that an unbalanced immune response underlies allergic asthma. While there is normally a balance between type 1 (or Th1) and type 2 (or Th2) immune reactions in the body, many individuals with allergic asthma predominantly have type 2 reactions. Type 2 reactions lead to the production of immune proteins called IgE antibodies and the generation of other factors that predispose to bronchial hyperresponsiveness. Normally, the body produces IgE antibodies in response to foreign invaders, particularly parasitic worms. For unknown reasons, in susceptible individuals, the body reacts to an allergen as if it is harmful, producing IgE antibodies specific to it. Upon later encounters with the allergen, IgE antibodies recognize it, which stimulates an immune response, causing bronchoconstriction, airway swelling, and mucus production.  Not everyone with a variation in one of the allergic asthma-associated genes develops the condition; exposure to certain environmental factors also contributes to its development. Studies suggest that these exposures trigger epigenetic changes to the DNA. Epigenetic changes modify DNA without changing the DNA sequence. They can affect gene activity and regulate the production of proteins, which may influence the development of allergies in susceptible individuals."
"Is allergic asthma inherited ?","Allergic asthma can be passed through generations in families, but the inheritance pattern is unknown. People with mutations in one or more of the associated genes inherit an increased risk of allergic asthma, not the condition itself. Because allergic asthma is a complex condition influenced by genetic and environmental factors, not all people with a mutation in an asthma-associated gene will develop the disorder."
"What are the treatments for allergic asthma ?","These resources address the diagnosis or management of allergic asthma:  - American Academy of Allergy Asthma and Immunology: Asthma Treatment and Management  - Genetic Testing Registry: Asthma, atopic  - Genetic Testing Registry: Asthma, susceptibility to   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
"What is Lung Cancer ?","How Tumors Form The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process goes wrong and cells become abnormal, forming more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous. Lung cancer occurs when a tumor forms in the tissue of the lung. The Leading Cause of Cancer Death  Lung cancer is the leading cause of cancer death in men and women in the United States. Experts estimate that over 200,000 new cases of lung cancer will be diagnosed each year slightly more cases in men than women. Over 150,000 Americans die of the disease each year. Lung cancer occurs most often between the ages of 55 and 65. (Watch the videos on this page to learn more about lung cancer. To enlarge the videos, click the brackets in the lower right-hand corner of the video screen. To reduce the videos, press the Escape (Esc) button on your keyboard.) Two Major Types of Lung Cancer There are two major types of lung cancer -- non-small cell lung cancer and small cell lung cancer. Each type of lung cancer grows and spreads in different ways, and each is treated differently. - Non-small cell lung cancer is more common than small cell lung cancer.  - Small cell lung cancer grows more quickly and is more likely to spread to other organs in the body.  Non-small cell lung cancer is more common than small cell lung cancer. Small cell lung cancer grows more quickly and is more likely to spread to other organs in the body.  Learn more about non-small cell lung cancer.   Learn more about small cell lung cancer.  Lung Cancer Can Spread Lung cancer may spread to the lymph nodes or other tissues in the chest, including the lung opposite to where it originated. It may also spread to other organs of the body, such as the bones, brain, or liver. When cancer spreads from its original location in the lung to another part of the body such as the brain, it is called metastatic lung cancer, not brain cancer. Doctors sometimes call this distant disease. Smoking and Lung Cancer  Lung cancer would occur much less often if people did not smoke. The good news is that smoking is not as popular as it used to be. In 1965 about 42 percent of all adults smoked, but as of 2012, slightly less than 17 percent of people 18 and older smoked cigarettes. Also, since the 1990s there has been a steady drop in lung cancer deaths among men, mainly because fewer men are smoking, and since the turn of the century, lung cancer deaths in women have been slowly declining. Cigarette smoking rates had been dropping steadily in the 1990s and had started to level off at the start of the 21st century but the latest figures show a continued decline. The bad news is that other forms of tobacco use have shown some revival, but mainly in younger populations. The bad news is that smoking rates, which were dropping, have stopped declining in recent years. Smoking by young adults actually increased by 73 percent in the 1990s but has shown a downturn or leveling off in the past few years."
"What causes Lung Cancer ?","Tobacco Products and Cancer Using tobacco products has been shown to cause cancer. In fact, smoking tobacco, using smokeless tobacco, and being exposed regularly to secondhand tobacco smoke are responsible for a large number of cancer deaths in the U.S. each year. Cigarette Smoking Causes Lung Cancer Cigarette smoking is the number one cause of lung cancer. Scientists have reported widely on the link between cancer and smoking since the 1960s. Since then, study after study has provided more proof that cigarette smoking is the primary cause of lung cancer. Before cigarette smoking became popular after World War I, doctors rarely, if ever, saw patients with lung cancer. But today, lung cancer is the leading cause of death by cancer. Over 85 percent of people with lung cancer developed it because they smoked cigarettes. If You Smoke If you smoke cigarettes, you are at much higher risk for lung cancer than a person who has never smoked. The risk of dying from lung cancer is 23 times higher for men who smoke and 13 times higher for women who smoke than for people who have never smoked. Lung cancer can affect young and old alike.  Stopping smoking greatly reduces your risk for developing lung cancer. After you stop, your risk levels off. Ten years after the last cigarette, the risk of dying from lung cancer drops by 50 percent -- which does not mean, however, that risk is eliminated. (Watch the videos on this page to learn more about lung cancer, smoking and older adults. To enlarge the videos, click the brackets in the lower right-hand corner of the video screen. To reduce the videos, press the Escape (Esc) button on your keyboard.) Smoking cigars and pipes also puts you at risk for lung cancer. Cigar and pipe smokers have a higher risk of lung cancer than nonsmokers. Even cigar and pipe smokers who do not inhale are at increased risk for lung, mouth, and other types of cancer. The likelihood that a smoker will develop lung cancer is related to the age smoking began; how long the person smoked; the number of cigarettes, pipes, or cigars smoked per day; and how deeply the smoker inhaled.  Learn about lung cancer prevention. Other Factors That Increase Your Risk - Many studies suggest that non-smokers who are exposed to environmental tobacco smoke, also called secondhand smoke, are at increased risk of lung cancer. Secondhand smoke is the smoke that non-smokers are exposed to when they share air space with someone who is smoking. Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer. Since 1964, approximately 2,500,000 nonsmokers have died from health problems caused by exposure to secondhand smoke.   - Exposure to radon can put a person at risk for lung cancer, too. People who work in mines may be exposed to this invisible, odorless, and radioactive gas that occurs naturally in soil and rocks. It is also found in houses in some parts of the country. A kit available at most hardware stores allows homeowners to measure radon levels in their homes.   - Another substance that can contribute to lung cancer is asbestos. Asbestos has been used in shipbuilding, asbestos mining and manufacturing, insulation work, and brake repair, although products with asbestos have been largely phased out over the past several decades. If inhaled, asbestos particles can lodge in the lungs, damaging cells and increasing the risk for lung cancer.  Many studies suggest that non-smokers who are exposed to environmental tobacco smoke, also called secondhand smoke, are at increased risk of lung cancer. Secondhand smoke is the smoke that non-smokers are exposed to when they share air space with someone who is smoking. Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer. Since 1964, approximately 2,500,000 nonsmokers have died from health problems caused by exposure to secondhand smoke. Exposure to radon can put a person at risk for lung cancer, too. People who work in mines may be exposed to this invisible, odorless, and radioactive gas that occurs naturally in soil and rocks. It is also found in houses in some parts of the country. A kit available at most hardware stores allows homeowners to measure radon levels in their homes. Another substance that can contribute to lung cancer is asbestos. Asbestos has been used in shipbuilding, asbestos mining and manufacturing, insulation work, and brake repair, although products with asbestos have been largely phased out over the past several decades. If inhaled, asbestos particles can lodge in the lungs, damaging cells and increasing the risk for lung cancer. It's Never Too Late To Quit  Researchers continue to study the causes of lung cancer and to search for ways to prevent it. We already know that the best way to prevent lung cancer is to quit or never start smoking. The sooner a person quits smoking the better. Even if you have been smoking for many years, it's never too late to benefit from quitting. Get Free Help To Quit Smoking - Each U.S. state and territory has a free quit line to provide you with information and resources to help you quit smoking. To reach the quit line in your area, dial toll-free, 1-800-QUIT-NOW (1-800-784-8669). Each U.S. state and territory has a free quit line to provide you with information and resources to help you quit smoking. To reach the quit line in your area, dial toll-free, 1-800-QUIT-NOW (1-800-784-8669). - Talk with a smoking cessation counselor from the National Cancer Institute (NCI) for help quitting and for answers to smoking-related questions in English or Spanish. Call toll free within the United States, Monday through Friday 8:00 a.m. to 8:00 p.m. Eastern Time.1-877-44U-QUIT (1-877-448-7848) Talk with a smoking cessation counselor from the National Cancer Institute (NCI) for help quitting and for answers to smoking-related questions in English or Spanish. Call toll free within the United States, Monday through Friday 8:00 a.m. to 8:00 p.m. Eastern Time.1-877-44U-QUIT (1-877-448-7848) - Get free information and advice about quitting smoking through a confidential online text chat with an information specialist from the National Cancer Institute's Cancer Information Service. Visit LiveHelp, available Monday through Friday, 8:00 a.m. to 11:00 p.m. Eastern Time. Get free information and advice about quitting smoking through a confidential online text chat with an information specialist from the National Cancer Institute's Cancer Information Service. Visit LiveHelp, available Monday through Friday, 8:00 a.m. to 11:00 p.m. Eastern Time. You can also get help to quit smoking at these websites. - Smokefree.gov.  - Smokefree Women  Smokefree.gov. Smokefree Women For adults 50 and older, check out Quitting Smoking for Older Adults."
"What are the symptoms of Lung Cancer ?","Common Signs and Symptoms When lung cancer first develops, there may be no symptoms at all. But if the cancer grows, it can cause changes that people should watch for. Common signs and symptoms of lung cancer include: - a cough that doesn't go away and gets worse over time  - constant chest pain  - coughing up blood  - shortness of breath, wheezing, or hoarseness  - repeated problems with pneumonia or bronchitis  - swelling of the neck and face  - loss of appetite or weight loss  - fatigue. a cough that doesn't go away and gets worse over time constant chest pain coughing up blood shortness of breath, wheezing, or hoarseness repeated problems with pneumonia or bronchitis swelling of the neck and face loss of appetite or weight loss fatigue. These symptoms may be caused by lung cancer or by other conditions. It is important to check with a doctor if you have symptoms because only a doctor can make a diagnosis. Don't wait to feel pain. Early cancer usually doesn't cause pain. Tests for Lung Cancer To better understand a persons chance of developing lung cancer, a doctor first evaluates a person's medical history, smoking history, their exposure to environmental and occupational substances, and family history of cancer. The doctor also performs a physical exam and may order a test to take an image of the chest or other tests. Seeing a spot on an image is usually how a doctor first suspects that lung cancer may be present. If lung cancer is suspected, the doctor may order a test called sputum cytology. This is a simple test where, under a microscope, a doctor examines a sample of mucous cells coughed up from the lungs under a microscope to see if cancer is present. Biopsies to Detect Lung Cancer But to confirm the presence of lung cancer, the doctor must examine fluid or tissue from the lung. This is done through a biopsy -- the removal of a small sample of fluid or tissue for examination under a microscope by a pathologist. A biopsy can show whether a person has cancer. A number of procedures may be used to obtain this tissue. - Bronchoscopy -- The doctor puts a bronchoscope -- a thin, lighted tube -- into the mouth or nose and down through the windpipe to look into the breathing passages. Through this tube, the doctor can collect cells or small samples of tissue.  - Needle Aspiration -- The doctor numbs the chest area and inserts a thin needle into the tumor to remove a sample of tissue.  - Thoracentesis - Using a needle, the doctor removes a sample of the fluid that surrounds the lungs to check for cancer cells.  - Thorascopy or Thoracotomy -- Surgery to open the chest is sometimes needed to diagnose lung cancer. This procedure is a major operation performed in a hospital. Bronchoscopy -- The doctor puts a bronchoscope -- a thin, lighted tube -- into the mouth or nose and down through the windpipe to look into the breathing passages. Through this tube, the doctor can collect cells or small samples of tissue. Needle Aspiration -- The doctor numbs the chest area and inserts a thin needle into the tumor to remove a sample of tissue. Thoracentesis - Using a needle, the doctor removes a sample of the fluid that surrounds the lungs to check for cancer cells. Thorascopy or Thoracotomy -- Surgery to open the chest is sometimes needed to diagnose lung cancer. This procedure is a major operation performed in a hospital. Other Tests Doctors use imaging methods such as a spiral CT scan (also commonly known as helical CT) to look for signs of cancer. A CT scan, also known as computerized tomography scan, is a series of detailed pictures of areas inside the body. Other tests can include removal of lymph nodes for examination under a microscope to check for cancer cells. Lymph nodes are small, bean-shaped structures found throughout the body. They filter substances in a fluid called lymph and help fight infection and disease."
"What are the treatments for Lung Cancer ?","There are many treatment options for lung cancer, mainly based on the extent of the disease. The choice of treatment depends on your age and general health, the stage of the cancer, whether or not it has spread beyond the lung, and other factors. If tests show that you have cancer, you should talk with your doctor and make treatment decisions as soon as possible. Studies show that early treatment leads to better outcomes. Working With a Team of Specialists A team of specialists often treats people with cancer. The team will keep the primary doctor informed about the patient's progress. The team may include a medical oncologist who is a specialist in cancer treatment, a surgeon, a radiation oncologist who is a specialist in radiation therapy, a thoracic surgeon who is a specialist in operating on organs in the chest, including the lungs, and others. Before starting treatment, you may want another doctor to review the diagnosis and treatment plan. Some insurance companies require a second opinion. Others may pay for a second opinion if you request it. Clinical Trials for Lung Cancer Some lung cancer patients take part in studies of new treatments. These studies, called clinical trials, are designed to find out whether a new treatment is safe and effective. Often, clinical trials compare a new treatment with a standard one so that doctors can learn which is more effective. People with lung cancer who are interested in taking part in a clinical trial should talk with their doctor. The U.S. National Institutes of Health, through its National Library of Medicine and other Institutes, maintains a database of clinical trials at ClinicalTrials.gov. Click here to see a list of the current clinical trials on lung cancer. A separate window will open. Click the "x" in the upper right hand corner of the "Clinical Trials" window to return here."
"what research (or clinical trials) is being done for Lung Cancer ?","Researchers continue to look at new ways to combine, schedule, and sequence the use of chemotherapy, surgery, and radiation to treat lung cancer. Today, some of the most promising treatment approaches incorporate precision medicine. This approach first looks to see what genes may be mutated that are causing the cancer, and once these genes are identified, specific drugs may be available that target the mutations and treat the cancer directly without the harsh side-effects often found with conventional chemotherapy. Researchers are also constantly trying to come up with new ways to find and diagnose lung cancer in order to catch it and treat it in its earliest stages. The National Lung Screening Trial, or NLST, showed conclusively that spiral CT reduced the risk of dying by 20 percent compared to those who received a chest x-ray among heavy smokers Get more information on current lung cancer research."
"Who is at risk for Lung Cancer?","Risk factors that increase your chance of getting lung cancer include - cigarette, cigar, and pipe smoking, which account for well over half of all cases of lung cancer  - secondhand smoke  - family history  - HIV infection  - environmental risk factors  - beta carotene supplements in heavy smokers. cigarette, cigar, and pipe smoking, which account for well over half of all cases of lung cancer secondhand smoke family history HIV infection environmental risk factors beta carotene supplements in heavy smokers."
"What causes Lung Cancer ?","Some studies suggest that non-smokers who are exposed to environmental tobacco smoke, also called secondhand smoke, are at increased risk of lung cancer. Secondhand smoke is the smoke that non-smokers are exposed to when they share air space with someone who is smoking. Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer. Since 1964, approximately 2,500,000 nonsmokers have died from health problems caused by exposure to secondhand smoke.  Learn more about the effects of secondhand smoke.  Learn more about the chemicals found in cigarettes."
"What is Colorectal Cancer ?","How Tumors Form The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process goes wrong -- cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous. How Colorectal Cancer Develops Cancer of the colon or rectum is called colorectal cancer. The colon and the rectum are part of the large intestine, which is part of the digestive system. Colorectal cancer occurs when tumors form in the lining of the large intestine, also called the large bowel. Colorectal cancer accounts for almost ten percent of all cancer deaths in the United States. The risk of developing colorectal cancer rises after age 50. It is common in both men and women. Colorectal Cancer Can Spread Sometimes, cancer cells break away from the malignant tumor and enter the bloodstream or the lymphatic system where they travel to other organs in the body. Among other things, the lymphatic system transports white blood cells that fight infection. When cancer travels or spreads from its original location in the colon to another part of the body such as the liver, it is called metastatic colorectal cancer and not liver cancer. When colorectal cancer does spread, it tends to spread to the liver or lungs. Cure Rate for Early Detection Today there are more ways than ever to treat colorectal cancer. As with almost all cancers, the earlier it is found, the more likely that the treatment will be successful. If colon cancer is detected in its early stages, it is up to 90 percent curable."
"Who is at risk for Colorectal Cancer ?","Scientists don't know exactly what causes colorectal cancer, but they have been able to identify some risk factors for the disease. A risk factor is anything that increases your chances of getting a disease. Studies show that the following risk factors may increase a person's chances of developing colorectal cancer: age, polyps, personal history, family history, and ulcerative colitis. Age Colorectal cancer is more likely to occur as people get older. It is more common in people over the age of 50, but younger people can get it, too. In rare cases, it can occur in adolescence. Polyps Polyps are benign, or non-cancerous, growths on the inner wall of the colon and rectum. They are fairly common in people over age 50. Some types of polyps increase a person's risk of developing colorectal cancer. Not all polyps become cancerous, but nearly all colon cancers start as polyps. Diet The link between diet and colorectal cancer is not firmly established. There is evidence that smoking cigarettes and drinking 3 or more alcoholic beverages daily may be associated with an increased risk of colorectal cancer. Personal History Research shows that women with a history of cancer of the ovary, uterus, or breast have a somewhat increased chance of developing colorectal cancer. Also, a person who has already had colorectal cancer may develop this disease a second time. Family History The parents, siblings, and children of a person who has had colorectal cancer are somewhat more likely to develop this type of cancer themselves. This is especially true if the relative had the cancer at a young age. If many family members have had colorectal cancer, the chances increase even more. Ulcerative colitis Ulcerative colitis is a condition in which there is a chronic break in the lining of the colon. Having this condition increases a person's chance of developing colorectal cancer. Genetic Mutations Researchers have identified genetic mutations, or abnormalities, that may be linked to the development of colon cancer. They are working to unravel the exact ways these genetic changes occur. Recent results from The Cancer Genome Atlas study of colorectal cancer point to several genes (BRAF and EGRF among others) that may increase risk. If You Have Risk Factors If you have one or more of these risk factors, it doesn't mean you will get colorectal cancer. It just increases the chances. You may wish to talk to your doctor about these risk factors. He or she may be able to suggest ways you can reduce your chances of developing colorectal cancer and plan an appropriate schedule for checkups."
"What are the symptoms of Colorectal Cancer ?","Most cancers in their early, most treatable stages don't cause any symptoms. That is why it is important to have regular tests to check for cancer even when you might not notice anything wrong. Common Signs and Symptoms When colorectal cancer first develops, there may be no symptoms at all. But as the cancer grows, it can cause changes that people should watch for. Common signs and symptoms of colorectal cancer include: - a change in the frequency of bowel movements  - diarrhea, constipation, or feeling that the bowel does not empty completely  - either bright red or very dark blood in the stool  - stools that are narrower than usual  - general abdominal discomfort such as frequent gas pains, bloating, fullness, and/or cramps  - weight loss with no known reason  - constant tiredness  - vomiting a change in the frequency of bowel movements diarrhea, constipation, or feeling that the bowel does not empty completely either bright red or very dark blood in the stool stools that are narrower than usual general abdominal discomfort such as frequent gas pains, bloating, fullness, and/or cramps weight loss with no known reason constant tiredness vomiting These symptoms may be caused by colorectal cancer or by other conditions. It is important to check with a doctor if you have symptoms because only a doctor can make a diagnosis. Don't wait to feel pain. Early cancer usually doesn't cause pain. Lowering Your Risk Factors Lower your risk factors where possible. Colon cancer can be prevented if polyps that lead to the cancer are detected and removed. If colon cancer is found in its earliest stages, it is up to 90 percent curable. Tools for Early Detection Beginning at age 50, the following tools are all used for early detection. They can help identify pre-cancerous conditions. If you are younger than 50 and one of your first-degree relatives has had colon cancer, you should consult with your doctor. Tools used for early detection: - A fecal occult blood test, or FOBT, is a test used to check for hidden blood in the stool. Sometimes cancers or polyps can bleed, and FOBT can detect small amounts of bleeding. Newer, genetically-based stool tests are proving to be more accurate than older tests.  - A sigmoidoscopy is an examination of the rectum and lower colon -- or sigmoid colon -- using a lighted instrument called a sigmoidoscope.   - A colonoscopy is an examination of the rectum and the large intestine (but not the small intestine) using a lighted instrument called a colonoscope.   - A virtual colonoscopy, which requires the same preparation as a standard colonoscopy, is done with an external scanning machine as opposed to a device inserted into the colon, although the colon does need to be inflated with gas for proper scanning. A fecal occult blood test, or FOBT, is a test used to check for hidden blood in the stool. Sometimes cancers or polyps can bleed, and FOBT can detect small amounts of bleeding. Newer, genetically-based stool tests are proving to be more accurate than older tests. A sigmoidoscopy is an examination of the rectum and lower colon -- or sigmoid colon -- using a lighted instrument called a sigmoidoscope. A colonoscopy is an examination of the rectum and the large intestine (but not the small intestine) using a lighted instrument called a colonoscope. A virtual colonoscopy, which requires the same preparation as a standard colonoscopy, is done with an external scanning machine as opposed to a device inserted into the colon, although the colon does need to be inflated with gas for proper scanning."
"What are the treatments for Colorectal Cancer ?","There are several treatment options for colorectal cancer, although most treatments begin with surgical removal of either the cancerous polyp or section of the colon. The choice of treatment depends on your age and general health, the stage of cancer, whether or not it has spread beyond the colon, and other factors. If tests show that you have cancer, you should talk with your doctor and make treatment decisions as soon as possible. Studies show that early treatment leads to better outcomes. Working With a Team of Specialists A team of specialists often treats people with cancer. The team will keep the primary doctor informed about the patient's progress. The team may include a medical oncologist who is a specialist in cancer treatment, a surgeon, a radiation oncologist who is a specialist in radiation therapy, and others. Before starting treatment, you may want another doctor to review the diagnosis and treatment plan. Some insurance companies require a second opinion. Others may pay for a second opinion if you request it. Clinical Trials for Colorectal Cancer Some colorectal cancer patients take part in studies of new treatments. These studies, called clinical trials, are designed to find out whether a new treatment is safe and effective. Often, clinical trials compare a new treatment with a standard one so that doctors can learn which is more effective. People with colorectal cancer who are interested in taking part in a clinical trial should talk with their doctor. The U.S. National Institutes of Health, through its National Library of Medicine and other Institutes, maintains a database of clinical trials at ClinicalTrials.gov. Click here to see a list of the current clinical trials on colorectal cancer. A separate window will open. Click the "x" in the upper right hand corner of the "Clinical Trials" window to return here."
